context_id,depth_group,mean_single_layer_val_f1_macro
brain_tumor_mri_44c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Mid,0.9304407188920149
brain_tumor_mri_44c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Mid,0.9298121656121604
brain_tumor_mri_44c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Mid,0.9209901651815492
brain_tumor_mri_4c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Mid,0.9426729714571164
brain_tumor_mri_4c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Mid,0.9677782739999315
brain_tumor_mri_4c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Mid,0.9624807328693468
brain_tumor_mri_4c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Mid,0.9630013827629923
brain_tumor_mri_4c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Mid,0.9655031265472436
brain_tumor_mri_4c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Mid,0.9426482542108138
brain_tumor_mri_4c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Mid,0.9569878191904668
brain_tumor_mri_4c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Mid,0.9714885746560792
brain_tumor_mri_4c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Mid,0.9643248703423656
sciencedb_brain_tumor_3c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Mid,0.8891082033920643
sciencedb_brain_tumor_3c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Mid,0.9315211509032724
sciencedb_brain_tumor_3c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Mid,0.929475357460056
sciencedb_brain_tumor_3c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Mid,0.9214549344272206
sciencedb_brain_tumor_3c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Mid,0.9347442123682181
sciencedb_brain_tumor_3c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Mid,0.8742645666654816
sciencedb_brain_tumor_3c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Mid,0.9189333421289771
sciencedb_brain_tumor_3c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Mid,0.932766949858404
sciencedb_brain_tumor_3c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Mid,0.9308069598749028
brain_tumor_mri_14c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Deep,0.99326147536455
brain_tumor_mri_14c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Deep,0.9961534819510188
brain_tumor_mri_14c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Deep,0.9757289614244641
brain_tumor_mri_14c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Deep,0.991658472521749
brain_tumor_mri_14c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Deep,0.9814890507507039
brain_tumor_mri_14c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Deep,0.9868012726539062
brain_tumor_mri_14c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Deep,0.9887749105227428
brain_tumor_mri_14c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Deep,0.9892906990689382
brain_tumor_mri_14c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Deep,0.9920261983066097
brain_tumor_mri_17c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Deep,0.9831927375248986
brain_tumor_mri_17c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Deep,0.9806366944639496
brain_tumor_mri_17c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Deep,0.9729031998003854
brain_tumor_mri_17c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Deep,0.9802457789036062
brain_tumor_mri_17c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Deep,0.9824002257979041
brain_tumor_mri_17c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Deep,0.9686765922751073
brain_tumor_mri_17c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Deep,0.973411899550189
brain_tumor_mri_17c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Deep,0.9825282210265552
brain_tumor_mri_17c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Deep,0.982818926988284
brain_tumor_mri_44c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Deep,0.9448437081051192
brain_tumor_mri_44c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Deep,0.9460910040711972
brain_tumor_mri_44c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Deep,0.9418476659514177
brain_tumor_mri_44c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Deep,0.9367820095251471
brain_tumor_mri_44c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Deep,0.93611461304971
brain_tumor_mri_44c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Deep,0.9194420638853957
brain_tumor_mri_44c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Deep,0.9155522350109196
brain_tumor_mri_44c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Deep,0.9359951657838316
brain_tumor_mri_44c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Deep,0.9285066751102974
brain_tumor_mri_4c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Deep,0.9880750375681134
brain_tumor_mri_4c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Deep,0.989299812368321
brain_tumor_mri_4c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Deep,0.9809335008014624
brain_tumor_mri_4c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Deep,0.984492204026025
brain_tumor_mri_4c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Deep,0.9886628515425779
brain_tumor_mri_4c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Deep,0.9761385472695497
brain_tumor_mri_4c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Deep,0.9857029005401444
brain_tumor_mri_4c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Deep,0.9880950346611072
brain_tumor_mri_4c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Deep,0.9821648555750926
sciencedb_brain_tumor_3c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Deep,0.9654729234235256
sciencedb_brain_tumor_3c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Deep,0.9474197259381426
sciencedb_brain_tumor_3c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Deep,0.9456903477024803
sciencedb_brain_tumor_3c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Deep,0.9498383371501318
sciencedb_brain_tumor_3c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Deep,0.9449332400764188
sciencedb_brain_tumor_3c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Deep,0.9365439704555646
sciencedb_brain_tumor_3c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Deep,0.9474242629464084
sciencedb_brain_tumor_3c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Deep,0.9419477074649488
sciencedb_brain_tumor_3c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Deep,0.9455556139766668
brain_tumor_mri_14c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Final,0.9734925046774556
brain_tumor_mri_14c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Final,0.9931379855650954
brain_tumor_mri_14c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Final,0.9542046699914328
brain_tumor_mri_14c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Final,0.9807580884106784
brain_tumor_mri_14c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Final,0.9851421941267907
brain_tumor_mri_14c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Final,0.966940072851477
brain_tumor_mri_14c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Final,0.9917937129611046
brain_tumor_mri_14c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Final,0.9910501206913104
brain_tumor_mri_14c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Final,0.976070259117398
brain_tumor_mri_17c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Final,0.9822058486004396
brain_tumor_mri_17c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Final,0.9669142536291706
